name,type,genre,rating
Naruto,anime,"Action, Adventure, Shounen",7.9
Bleach,anime,"Action, Supernatural",7.5
One Piece,anime,"Adventure, Comedy, Fantasy",8.6
Death Note,anime,"Mystery, Supernatural, Thriller",8.7
Attack on Titan,anime,"Action, Drama, Fantasy",8.8
Fullmetal Alchemist,anime,"Action, Military, Fantasy",8.5
Demon Slayer,anime,"Action, Supernatural, Shounen",8.3
My Hero Academia,anime,"Action, Super Power, School",7.8
Tokyo Ghoul,anime,"Action, Horror, Supernatural",7.6
Jujutsu Kaisen,anime,"Action, Supernatural, School",8.1
The Witcher 3,game,"RPG, Adventure, Fantasy",9.2
Elden Ring,game,"Soulslike, Action, Fantasy",9.1
Genshin Impact,game,"Open World, Action, RPG",8.2
God of War,game,"Action, Mythology, Adventure",9.0
Hades,game,"Roguelike, Action, Mythology",8.9
Hollow Knight,game,"Metroidvania, Action, Adventure",8.7
Dark Souls III,game,"Soulslike, RPG, Action",8.8
Sekiro,game,"Action, Stealth, Samurai",8.9
Celeste,game,"Platformer, Indie, Adventure",8.5
Stardew Valley,game,"Farming, Life Sim, Indie",8.8
